Epoch,Training accuracy,Training loss,Validation accuracy,Validation loss
1,0.4255874752998352,1.3553004264831543,0.5548387169837952,1.0996429920196533
2,0.562663197517395,1.0888559818267822,0.6774193644523621,0.9316983222961426
3,0.622715413570404,0.9763093590736389,0.7290322780609131,0.8201239705085754
4,0.6671018004417419,0.8831391930580139,0.774193525314331,0.7347939014434814
5,0.710182785987854,0.8000051379203796,0.8064516186714172,0.6734247207641602
6,0.7349869608879089,0.7167147994041443,0.8193548321723938,0.6265321373939514
7,0.7728459239006042,0.6732938885688782,0.8193548321723938,0.5883446335792542
8,0.7650130391120911,0.6613976955413818,0.8258064389228821,0.5621497631072998
9,0.7819843292236328,0.6169314980506897,0.8387096524238586,0.5327199101448059
10,0.7911227345466614,0.61427903175354,0.85161292552948,0.5097910165786743
